date,close,volume
2024-08-20,30.96,522200
2024-08-21,31.7,725100
2024-08-22,31.5,567800
2024-08-23,32.18,650000
2024-08-26,32.62,521600
2024-08-27,32.39,642400
2024-08-28,30.83,588000
2024-08-29,30.9,508000
2024-08-30,31.45,598400
2024-09-03,30.15,936400
2024-09-04,30.52,655500
2024-09-05,30.51,812000
2024-09-06,29.28,878100
2024-09-09,30.9,1130200
2024-09-10,31.09,960700
2024-09-11,31.35,1162800
2024-09-12,30.65,715200
2024-09-13,31.35,610000
2024-09-16,31.42,636900
2024-09-17,32.43,1271500
2024-09-18,31.98,984100
2024-09-19,32.52,911900
2024-09-20,33.43,1212900
2024-09-23,34.33,1018400
2024-09-24,35.73,1319800
2024-09-25,35.73,1070700
2024-09-26,34.82,1032300
2024-09-27,35.13,899300
2024-09-30,35.07,1213300
2024-10-01,36.18,1105300
2024-10-02,36.06,908200
2024-10-03,35.49,901800
2024-10-04,36.32,511600
2024-10-07,37.67,1970200
2024-10-08,38.4,984500
2024-10-09,39.71,1230100
2024-10-10,38.73,1540400
2024-10-11,39.77,679500
2024-10-14,39.95,1012100
2024-10-15,40.0,771200
2024-10-16,40.91,774700
2024-10-17,40.27,619500
2024-10-18,40.35,699900
2024-10-21,38.9,1320000
2024-10-22,38.31,3320200
2024-10-23,35.96,2205400
2024-10-24,34.77,1361100
2024-10-25,35.37,656100
2024-10-28,36.15,904700
2024-10-29,36.39,677700
2024-10-30,36.38,633300
2024-10-31,34.68,1015300
2024-11-01,34.56,598400
2024-11-04,34.56,831400
2024-11-05,35.46,706300
2024-11-06,36.87,1350100
2024-11-07,31.38,5246800
2024-11-08,30.91,1388100
2024-11-11,29.28,2388800
2024-11-12,28.43,1271700
2024-11-13,28.5,1179900
2024-11-14,28.5,674500
2024-11-15,28.13,1173800
2024-11-18,29.15,1111600
2024-11-19,30.13,1518800
2024-11-20,30.13,1149500
2024-11-21,31.03,705800
2024-11-22,30.44,1742400
2024-11-25,32.27,2210200
2024-11-26,32.53,1806900
2024-11-27,32.34,1829400
2024-11-29,33.2,1236900
2024-12-02,33.75,809900
2024-12-03,34.14,666200
2024-12-04,34.23,922900
2024-12-05,34.47,560500
2024-12-06,35.44,521300
2024-12-09,36.97,975000
2024-12-10,37.57,1116400
2024-12-11,38.73,894700
2024-12-12,36.99,771900
2024-12-13,37.57,892200
2024-12-16,38.85,1053100
2024-12-17,38.815,660800
2024-12-18,37.23,874100
2024-12-19,38.74,760500
2024-12-20,39.69,1902700
2024-12-23,38.81,718000
2024-12-24,39.33,344300
2024-12-26,37.72,742800
2024-12-27,37.345,694000
2024-12-30,37.16,555700
2024-12-31,37.69,658200
2025-01-02,38.84,444300
2025-01-03,39.63,476100
2025-01-06,38.55,974700
2025-01-07,37.6,674700
2025-01-08,39.38,772600
2025-01-10,40.13,902600
2025-01-13,41.62,3004800
2025-01-14,42.08,1307200
2025-01-15,42.67,935800
2025-01-16,43.14,824000
2025-01-17,45.01,1612900
2025-01-21,43.93,1617200
2025-01-22,44.39,1134100
2025-01-23,45.12,685700
2025-01-24,43.14,1238600
2025-01-27,42.37,1137400
2025-01-28,42.87,802100
2025-01-29,44.04,664500
2025-01-30,44.93,1094500
2025-01-31,43.875,873000
2025-02-03,39.88,1785700
2025-02-04,38.01,1299800
2025-02-05,37.69,1314000
2025-02-06,37.49,809100
2025-02-07,36.17,893700
2025-02-10,35.41,1152900
2025-02-11,35.71,926400
2025-02-12,34.93,1009800
2025-02-13,35.42,858600
2025-02-14,34.76,1651900
2025-02-18,34.31,1455300
2025-02-19,35.38,889300
2025-02-20,34.77,1126900
2025-02-21,34.9,893100
2025-02-24,32.33,1894500
2025-02-25,32.06,1184200
2025-02-26,33.88,1484500
2025-02-27,30.79,4098200
2025-02-28,33.11,2913100
2025-03-03,31.55,2042500
2025-03-04,31.15,1249500
2025-03-05,30.78,936100
2025-03-06,30.39,1042100
2025-03-07,33.12,1414300
2025-03-10,32.04,1172400
2025-03-11,31.6,906600
2025-03-12,31.94,1022200
2025-03-13,29.32,1454600
2025-03-14,30.94,1209800
2025-03-17,31.59,994700
2025-03-18,29.59,1036500
2025-03-19,29.56,1078900
2025-03-20,29.52,1046100
2025-03-21,29.79,698900
2025-03-24,31.36,1051200
2025-03-25,32.46,757200
2025-03-26,31.0,601700
2025-03-27,30.27,641800
2025-03-28,29.72,879700
2025-03-31,30.47,1013300
2025-04-01,30.95,944900
2025-04-02,31.66,730800
2025-04-03,32.38,1182700
2025-04-04,32.23,1166400
2025-04-07,32.69,1105400
2025-04-08,32.3,1293700
2025-04-09,33.79,1718600
2025-04-10,33.09,967200
2025-04-11,34.01,752800
2025-04-14,33.62,844300
2025-04-15,33.75,642700
2025-04-16,33.03,626600
2025-04-17,32.99,681800
2025-04-21,33.06,998400
2025-04-22,33.49,609300
2025-04-23,33.73,768000
2025-04-24,33.61,548600
2025-04-25,33.38,455500
2025-04-28,33.64,629700
2025-04-29,33.83,492300
2025-04-30,34.24,651800
2025-05-01,35.07,606000
2025-05-02,35.77,718100
2025-05-05,35.54,723400
2025-05-06,36.03,746300
2025-05-07,35.92,577100
2025-05-08,32.57,1889800
